USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MO	29057480100	527423074	29965475	     203.639	      11.570	 37.4377988	 -93.7262911                                                                                                                    
MO	29057480200	741702000	12103224	     286.373	       4.673	 37.4250558	 -93.9431417                                                                                                                    
MO	29059480100	683875348	3461389	     264.046	       1.336	 37.7897108	 -93.0046155                                                                                                                     
MO	29059480200	157145646	355825	      60.674	       0.137	 37.6707651	 -93.1066936                                                                                                                      
MO	29059480300	559557702	1571108	     216.046	       0.607	 37.5501055	 -93.0174984                                                                                                                     
MO	29061470100	871204301	8932856	     336.374	       3.449	 39.9817797	 -94.0390632                                                                                                                     
MO	29061470200	587571000	6112037	     226.862	       2.360	 39.8659809	 -93.9556057                                                                                                                     
MO	29063080100	541711489	5945719	     209.156	       2.296	 39.9123487	 -94.3128169                                                                                                                     
MO	29063080200	549600129	5615369	     212.202	       2.168	 39.8714660	 -94.4998991                                                                                                                     
MO	29065960100	1121513298	2311966	     433.019	       0.893	 37.5818703	 -91.4091695                                                                                                                    
MO	29065960200	806286639	1972522	     311.309	       0.762	 37.6179988	 -91.6820638                                                                                                                     
MO	29065960300	5482230	0	       2.117	       0.000	 37.6444830	 -91.5475691                                                                                                                             
MO	29065960400	16360704	234891	       6.317	       0.091	 37.6409506	 -91.5155456                                                                                                                       
MO	29067950100	1122387426	2084679	     433.356	       0.805	 36.9292460	 -92.3078757                                                                                                                    
MO	29067950200	877892869	354088	     338.956	       0.137	 36.8720217	 -92.8240341                                                                                                                      
MO	29067950500	107015982	59497	      41.319	       0.023	 36.9470427	 -92.6670030                                                                                                                       
MO	29069360100	11841938	0	       4.572	       0.000	 36.5715441	 -89.9671122                                                                                                                            
MO	29069360200	34648931	62419	      13.378	       0.024	 36.5932998	 -90.0031853                                                                                                                        
MO	29069360300	297997314	2983061	     115.057	       1.152	 36.5367683	 -90.1115919                                                                                                                     
MO	29069360400	292909166	1476544	     113.093	       0.570	 36.3854171	 -90.0186968                                                                                                                     
MO	29069360500	12604487	2635	       4.867	       0.001	 36.2476673	 -90.0570230                                                                                                                         
MO	29069360600	25004208	124159	       9.654	       0.048	 36.2467470	 -90.0208500                                                                                                                       
MO	29069360700	9791784	0	       3.781	       0.000	 36.2315270	 -90.0749367                                                                                                                             
MO	29069360800	156819704	3306565	      60.548	       1.277	 36.1547527	 -90.1668406                                                                                                                     
MO	29069360900	397087990	6699221	     153.317	       2.587	 36.0981503	 -90.0571387                                                                                                                     
MO	29069361000	162663791	1176821	      62.805	       0.454	 36.0448923	 -90.2642967                                                                                                                     
MO	29071800100	184200111	4951243	      71.120	       1.912	 38.5203911	 -90.8371616                                                                                                                     
MO	29071800201	10009809	1287242	       3.865	       0.497	 38.5432389	 -90.9815708                                                                                                                      
MO	29071800202	51196227	48380	      19.767	       0.019	 38.5106001	 -90.9976503                                                                                                                        
MO	29071800300	48960523	1007345	      18.904	       0.389	 38.5529701	 -91.0498671                                                                                                                      
MO	29071800401	266320077	8842338	     102.827	       3.414	 38.6048526	 -91.2480521                                                                                                                     
MO	29071800402	371761811	669875	     143.538	       0.259	 38.4859981	 -91.2256553                                                                                                                      
MO	29071800500	513880588	845774	     198.410	       0.327	 38.3380612	 -91.2192168                                                                                                                      
MO	29071800601	23976538	20615	       9.257	       0.008	 38.4613430	 -91.0087291                                                                                                                        
MO	29071800602	80195444	19020	      30.964	       0.007	 38.4058643	 -90.9946563                                                                                                                        
MO	29071800701	53714129	519683	      20.739	       0.201	 38.4785753	 -90.7778863                                                                                                                       
MO	29071800702	21757401	30454	       8.401	       0.012	 38.5007778	 -90.7587118                                                                                                                        
MO	29071800800	222781568	1551926	      86.016	       0.599	 38.3798509	 -90.8270903                                                                                                                     
MO	29071800901	61698252	408507	      23.822	       0.158	 38.3027319	 -90.9844933                                                                                                                       
MO	29071800902	68635965	62570	      26.500	       0.024	 38.3606736	 -90.9796059                                                                                                                        
MO	29071801000	288672865	414377	     111.457	       0.160	 38.2559172	 -90.9289562                                                                                                                      
MO	29071801101	40248708	0	      15.540	       0.000	 38.2317048	 -91.1159927                                                                                                                            
MO	29071801102	81724313	49727	      31.554	       0.019	 38.2395173	 -91.2043377                                                                                                                        
MO	29073960100	29589315	2123285	      11.424	       0.820	 38.6853417	 -91.4731835                                                                                                                      
MO	29073960200	279833966	8857348	     108.045	       3.420	 38.6341409	 -91.5100652                                                                                                                     
MO	29073960300	551228223	3250505	     212.830	       1.255	 38.4675376	 -91.5123607                                                                                                                     
MO	29073960400	24101015	581767	       9.305	       0.225	 38.3434916	 -91.5024671                                                                                                                       
MO	29073960500	459462408	3196397	     177.399	       1.234	 38.2710223	 -91.5087785                                                                                                                     
MO	29075960100	702510800	323141	     271.241	       0.125	 40.2067828	 -94.3093653                                                                                                                      
MO	29075960200	570265965	439243	     220.181	       0.170	 40.2205518	 -94.5147022                                                                                                                      
