USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
IL	17031460302	648523	0	       0.250	       0.000	 41.7470862	 -87.5573905                                                                                                                              
IL	17031460400	652525	0	       0.252	       0.000	 41.7444903	 -87.5636922                                                                                                                              
IL	17031460500	1277221	0	       0.493	       0.000	 41.7468818	 -87.5726040                                                                                                                             
IL	17031460600	260611	0	       0.101	       0.000	 41.7356327	 -87.5595142                                                                                                                              
IL	17031460700	422529	0	       0.163	       0.000	 41.7355801	 -87.5492814                                                                                                                              
IL	17031461000	557244	59596	       0.215	       0.023	 41.7273925	 -87.5465424                                                                                                                          
IL	17031470100	1589076	0	       0.614	       0.000	 41.7282207	 -87.5964896                                                                                                                             
IL	17031480100	659686	0	       0.255	       0.000	 41.7352411	 -87.5757302                                                                                                                              
IL	17031480200	286028	0	       0.110	       0.000	 41.7351237	 -87.5898841                                                                                                                              
IL	17031480300	415734	0	       0.161	       0.000	 41.7291942	 -87.5879725                                                                                                                              
IL	17031480400	1809909	0	       0.699	       0.000	 41.7284498	 -87.5756385                                                                                                                             
IL	17031480500	1363513	0	       0.526	       0.000	 41.7276000	 -87.5590911                                                                                                                             
IL	17031490300	632686	0	       0.244	       0.000	 41.7253813	 -87.6191480                                                                                                                              
IL	17031490400	237760	0	       0.092	       0.000	 41.7236539	 -87.6108237                                                                                                                              
IL	17031490500	1425891	0	       0.551	       0.000	 41.7179274	 -87.6132064                                                                                                                             
IL	17031490600	683117	0	       0.264	       0.000	 41.7179734	 -87.6283302                                                                                                                              
IL	17031490700	640222	0	       0.247	       0.000	 41.7107319	 -87.6283648                                                                                                                              
IL	17031490800	1079255	0	       0.417	       0.000	 41.7106828	 -87.6153371                                                                                                                             
IL	17031490901	845442	0	       0.326	       0.000	 41.6960582	 -87.6162677                                                                                                                              
IL	17031490902	1196062	0	       0.462	       0.000	 41.7032801	 -87.6153262                                                                                                                             
IL	17031491000	1277066	0	       0.493	       0.000	 41.6997585	 -87.6280506                                                                                                                             
IL	17031491100	1322861	0	       0.511	       0.000	 41.6997569	 -87.6376956                                                                                                                             
IL	17031491200	649492	0	       0.251	       0.000	 41.6887765	 -87.6374383                                                                                                                              
IL	17031491300	646032	0	       0.249	       0.000	 41.6888969	 -87.6278036                                                                                                                              
IL	17031491400	829878	0	       0.320	       0.000	 41.6891232	 -87.6168215                                                                                                                              
IL	17031500100	2653042	0	       1.024	       0.000	 41.7146840	 -87.5950237                                                                                                                             
IL	17031500200	2042386	0	       0.789	       0.000	 41.7008551	 -87.6003088                                                                                                                             
IL	17031500300	709169	0	       0.274	       0.000	 41.6893150	 -87.6053698                                                                                                                              
IL	17031510100	2141227	224469	       0.827	       0.087	 41.7126213	 -87.5500748                                                                                                                        
IL	17031510200	1279954	0	       0.494	       0.000	 41.7142531	 -87.5600413                                                                                                                             
IL	17031510300	2957008	0	       1.142	       0.000	 41.7157376	 -87.5749726                                                                                                                             
IL	17031520100	2580447	523172	       0.996	       0.202	 41.7211184	 -87.5294325                                                                                                                        
IL	17031520200	1108010	109686	       0.428	       0.042	 41.7123080	 -87.5406914                                                                                                                        
IL	17031520300	958354	0	       0.370	       0.000	 41.7011139	 -87.5395629                                                                                                                              
IL	17031520400	725278	0	       0.280	       0.000	 41.7030080	 -87.5307029                                                                                                                              
IL	17031520500	1050381	0	       0.406	       0.000	 41.6931166	 -87.5308705                                                                                                                             
IL	17031520600	1089381	0	       0.421	       0.000	 41.6895203	 -87.5404000                                                                                                                             
IL	17031530100	649937	0	       0.251	       0.000	 41.6818522	 -87.6179395                                                                                                                              
IL	17031530200	1297343	0	       0.501	       0.000	 41.6815612	 -87.6323954                                                                                                                             
IL	17031530300	1308193	0	       0.505	       0.000	 41.6813144	 -87.6517524                                                                                                                             
IL	17031530400	1312061	0	       0.507	       0.000	 41.6740397	 -87.6515267                                                                                                                             
IL	17031530501	1296494	0	       0.501	       0.000	 41.6742780	 -87.6321660                                                                                                                             
IL	17031530502	706252	101712	       0.273	       0.039	 41.6660802	 -87.6250225                                                                                                                         
IL	17031530503	1598480	57152	       0.617	       0.022	 41.6642039	 -87.6375356                                                                                                                         
IL	17031530600	966243	67959	       0.373	       0.026	 41.6700882	 -87.6191458                                                                                                                          
IL	17031540101	3357870	508398	       1.296	       0.196	 41.6507203	 -87.5993689                                                                                                                        
IL	17031540102	5296525	0	       2.045	       0.000	 41.6673315	 -87.6054486                                                                                                                             
