USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
CA	06001433000	1323541	0	       0.511	       0.000	 37.7158642	-122.1354706                                                                                                                             
CA	06001433102	1433684	0	       0.554	       0.000	 37.7021567	-122.1335016                                                                                                                             
CA	06001433103	690662	0	       0.267	       0.000	 37.7093280	-122.1390589                                                                                                                              
CA	06001433104	1053445	0	       0.407	       0.000	 37.7142641	-122.1469937                                                                                                                             
CA	06001433200	3174900	0	       1.226	       0.000	 37.7017500	-122.1470770                                                                                                                             
CA	06001433300	2455576	0	       0.948	       0.000	 37.6985801	-122.1574574                                                                                                                             
CA	06001433400	5474774	2188972	       2.114	       0.845	 37.6845277	-122.1689572                                                                                                                       
CA	06001433500	1234825	0	       0.477	       0.000	 37.6845009	-122.1553145                                                                                                                             
CA	06001433600	1581236	0	       0.611	       0.000	 37.6860068	-122.1437839                                                                                                                             
CA	06001433700	1316756	0	       0.508	       0.000	 37.6876344	-122.1146762                                                                                                                             
CA	06001433800	1600708	0	       0.618	       0.000	 37.6988143	-122.1234820                                                                                                                             
CA	06001433900	816583	0	       0.315	       0.000	 37.6992655	-122.1135392                                                                                                                              
CA	06001434000	1205931	0	       0.466	       0.000	 37.6923654	-122.1103209                                                                                                                             
CA	06001435102	4225658	0	       1.632	       0.000	 37.6552235	-122.0457324                                                                                                                             
CA	06001435103	51791767	0	      19.997	       0.000	 37.6516770	-121.9827842                                                                                                                            
CA	06001435104	7240872	0	       2.796	       0.000	 37.6385141	-122.0388421                                                                                                                             
CA	06001435200	2266084	61587	       0.875	       0.024	 37.6890403	-122.0493360                                                                                                                         
CA	06001435300	1288756	0	       0.498	       0.000	 37.6807791	-122.0646660                                                                                                                             
CA	06001435400	1328739	0	       0.513	       0.000	 37.6739266	-122.0831568                                                                                                                             
CA	06001435500	1012330	0	       0.391	       0.000	 37.6809369	-122.0933300                                                                                                                             
CA	06001435601	945540	0	       0.365	       0.000	 37.6746689	-122.1022655                                                                                                                              
CA	06001435602	1143694	0	       0.442	       0.000	 37.6819278	-122.1069995                                                                                                                             
CA	06001435700	1325905	0	       0.512	       0.000	 37.6786494	-122.1160735                                                                                                                             
CA	06001435800	1303278	0	       0.503	       0.000	 37.6793626	-122.1295969                                                                                                                             
CA	06001435900	2411352	17052	       0.931	       0.007	 37.6724681	-122.1473050                                                                                                                         
CA	06001436000	1315446	0	       0.508	       0.000	 37.6691777	-122.1375217                                                                                                                             
CA	06001436100	1258238	0	       0.486	       0.000	 37.6717586	-122.1236192                                                                                                                             
CA	06001436200	644502	0	       0.249	       0.000	 37.6685048	-122.1121200                                                                                                                              
CA	06001436300	1831137	0	       0.707	       0.000	 37.6662740	-122.0917198                                                                                                                             
